episode,win_rate
5000,41.199999999999996
10000,41.6
15000,42.6
20000,36.4
25000,39.2
30000,43.4
35000,42.8
40000,42.199999999999996
45000,41.8
50000,39.6
55000,42.6
60000,40.6
65000,43.2
70000,38.800000000000004
75000,42.6
80000,38.2
85000,43.6
90000,42.4
95000,38.0
100000,42.0
105000,43.6
110000,40.2
115000,39.800000000000004
120000,44.0
125000,45.0
130000,43.8
135000,41.199999999999996
140000,37.0
145000,40.8
150000,42.8
155000,40.6
160000,45.4
165000,43.0
170000,45.6
175000,40.400000000000006
180000,41.8
185000,42.199999999999996
190000,39.0
195000,43.2
200000,44.4
205000,46.6
210000,38.6
215000,41.6
220000,42.199999999999996
225000,43.4
230000,43.4
235000,41.8
240000,41.0
245000,42.4
250000,44.2
255000,43.4
260000,39.800000000000004
265000,44.4
270000,42.0
275000,40.8
280000,42.4
285000,43.4
290000,42.199999999999996
295000,39.800000000000004
300000,40.8
305000,41.8
310000,42.0
315000,40.400000000000006
320000,37.2
325000,40.400000000000006
330000,41.6
335000,43.8
340000,41.6
345000,44.2
350000,40.6
355000,41.6
360000,43.4
365000,40.6
370000,42.4
375000,44.4
380000,40.6
385000,43.4
390000,42.4
395000,37.4
400000,40.8
405000,41.4
410000,41.6
415000,43.2
420000,41.4
425000,44.0
430000,42.0
435000,42.8
440000,41.6
445000,43.0
450000,40.6
455000,39.2
460000,40.6
465000,41.4
470000,41.4
475000,40.8
480000,47.199999999999996
485000,39.6
490000,42.4
495000,42.6
500000,39.800000000000004
